Principale1;Principale2;Principale3;Principale4;Principale5;Principale6;Principale7
-12,73424329;11,57479401;-2,807340766;0,0050056;0,105868611;0,489616462;1,400797423
-12,94955537;11,40411539;-2,561489752;0,050677848;1,400391627;0,972158957;1,729443674
-12,81035022;11,51522843;-2,744535582;-0,011116429;0,302963617;0,565851166;0,902765345
-12,77721868;11,56334313;-2,947007222;-0,077493475;-0,783670966;0,191377143;-0,004450073
-11,285286;11,81826477;-0,732799612;-0,074320824;-0,213094884;-1,449182259;-0,280583082
-9,38179395;9,440554199;1,252736117;0,002569591;0,489917714;-1,751948915;1,409525687
-6,280464854;11,58018511;17,84746301;0,079176887;2,964769338;-8,512312702;-0,337307996
-1,285132006;14,67510273;22,7205185;-0,011130889;3,997369125;-10,23143795;1,407872896
-0,850462568;14,14597157;22,54587472;-0,021609034;4,075357798;-10,08173459;1,249549032
-0,693561206;13,56877257;22,34781791;-0,027635716;4,100349442;-9,961115718;1,140563617
2,818942186;14,68876277;22,31572959;0,082686915;3,642213717;-10,24871179;3,443512225
3,247491005;14,34874863;23,91942237;0,034516829;4,607263832;-10,39946248;1,149563451
6,353504422;20,54127716;66,89561016;0,061950711;-20,732429;41,70250007;-0,592810588
7,262280167;14,48036411;46,07596777;-0,039966564;3,641253087;-18,98531918;-1,688661917
-1,831780819;4,73150864;13,18986707;0,053564883;2,00869334;-5,889388933;-2,403400271
-1,371736328;4,14360047;10,039401;0,0439982;2,407877884;-5,015163661;-2,381597655
-1,221537809;3,62668335;8,29028453;-0,01312688;1,126155133;-4,537885592;-2,999187285
-1,279497539;3,062523201;7,078282516;0,049766269;2,010639732;-3,60880108;-1,545654928
-1,879730901;1,35950579;4,113281266;0,047870129;1,177305619;-1,574175559;-0,769959881
-2,410504385;0,395299994;2,270680075;0,041085017;0,88718223;-0,51117032;-0,68396427
-2,57784796;0,190034544;1,838875814;0,02890374;0,95766588;-0,285268302;-0,884036876
-2,527820922;0,102977203;1,445304612;0,025888547;1,006476726;-0,122397358;-0,923077938
-2,590110666;-0,039433387;1,041717864;0,017665284;1,07390571;0,072454454;-1,062318519
-2,624100475;-0,059561114;1,05095113;0,014282431;1,106462168;0,085657121;-1,153001661
-2,427438597;0,037343615;0,72732039;0,045851186;0,723772492;0,017716529;-0,14281015
-2,40701165;-0,024215074;0,542491569;0,04068104;0,793324621;0,126692984;-0,279930488
-2,441209943;-0,124107742;0,347616877;0,030183828;0,907463647;0,280757604;-0,55559766
-2,543638697;-0,224722613;0,16618961;0,02296713;0,963237964;0,363427302;-0,693525688
-2,631571928;-0,321683168;0,081623124;0,012974696;1,053045033;0,461414348;-0,94690109
-2,646444285;-0,328859122;0,08698126;0,011004526;1,073661862;0,469987093;-1,001059756
-2,646721996;-0,327580504;0,086338885;0,010918143;1,0732908;0,470132718;-0,999929082
-2,171401949;0,006782302;-0,217150795;-0,010905201;-0,447441523;-0,12405691;-0,673464743
-2,272960692;-0,057887502;-0,22287306;-0,021353754;-0,358071279;-0,055702162;-0,948815213
-2,242881434;-0,05136446;-0,181509302;-0,026365927;-0,266424885;-0,043290633;-1,142023506
-2,312119351;-0,112887946;-0,178913287;-0,034175511;-0,194970481;0,010721398;-1,354044774
-2,194493985;-0,011623856;-0,369587009;-0,096912133;-1,288463857;-0,390470021;-2,19707701
-2,33191985;-0,127226837;-0,128791995;-0,042816736;-0,073153305;0,035215882;-1,637248241
-2,215604656;-0,012126712;-0,238412309;-0,013697367;-0,443200645;-0,110899262;-0,710629237
-2,161873783;-0,023674438;-0,20010458;-0,021555724;-0,310002794;-0,058076048;-1,009254122
-2,461964923;-0,210811103;0,028096612;0,028700273;0,883320743;0,379981623;-0,474402622
-2,441012621;-0,224575021;0,05273298;0,023534692;0,963864693;0,411505712;-0,660292724
-2,542297591;-0,289023765;0,085204524;0,011376543;1,09381721;0,465511332;-1,007933704
-2,541604462;-0,291168457;0,085764671;0,011322603;1,093796863;0,465239486;-1,007758182
